Bill ID,Con ID,Bill Type,Previous Reading,Current Reading,Reading Date,Consumption,Current Due,Paid Flag
2333,384,1,449,47,2010-03-01,0,0.00,1
2332,1026,1,7419,7479,2010-03-01,60,105.00,1
2331,379,1,2819,2820,2010-03-01,1,25.00,1
2345,402,1,2254,2313,2010-03-01,59,103.00,0
2344,398,1,2747,2779,2010-03-01,32,49.00,1
2343,396,1,8,4011,2010-03-01,0,0.00,1
2342,395,1,8,9,2010-03-01,1,25.00,1
2320,362,1,2996,2997,2010-03-01,1,25.00,1
2319,359,1,2776,2777,2010-03-01,1,25.00,1
2318,357,1,840,867,2010-03-01,27,39.00,1
2317,355,1,778,820,2010-03-01,42,69.00,1
2316,353,1,108,116,2010-03-01,8,25.00,1
146,838,1,0,4173,2010-01-01,4173,8331.00,1
147,839,1,0,4310,2010-01-01,4310,8605.00,1
148,840,1,0,5710,2010-01-01,5710,11405.00,1
149,924,1,0,5224,2010-01-01,5224,10433.00,1
150,842,1,0,4256,2010-01-01,4256,8497.00,1
151,843,1,0,5256,2010-01-01,5256,10497.00,1
152,753,1,0,5,2010-01-01,5,25.00,1
153,845,1,0,5,2010-01-01,5,25.00,1
154,846,1,0,3640,2010-01-01,3640,7265.00,1
155,623,1,0,1176,2010-01-01,0,2337.00,1
156,848,1,0,1970,2010-01-01,1970,3925.00,1
157,849,1,0,5538,2010-01-01,5538,11061.00,1
2303,327,1,1440,1472,2010-03-01,32,49.00,1
2302,325,1,105,106,2010-03-01,1,25.00,1
158,850,1,0,4656,2010-01-01,4656,9297.00,1
159,851,1,0,2512,2010-01-01,2512,5009.00,1
160,852,1,0,6210,2010-01-01,6210,12405.00,1
161,853,1,0,1445,2010-01-01,1445,2875.00,1
162,854,1,0,567,2010-01-01,567,1119.00,1
163,855,1,0,5827,2010-01-01,5827,11639.00,1
164,856,1,0,5,2010-01-01,5,25.00,1
165,857,1,0,5,2010-01-01,5,25.00,1
166,858,1,0,2895,2010-01-01,2895,5775.00,1
167,859,1,0,7531,2010-01-01,7531,15047.00,1
168,860,1,0,8782,2010-01-01,8782,17549.00,1
169,861,1,0,4385,2010-01-01,4385,8755.00,1
170,862,1,0,5028,2010-01-01,5028,10041.00,1
