accountid,reading_nov,usage_nov,bill_nov,penalty_nov,totalbill_nov,reading_dec,usage_dec,bill_dec,penalty_dec,totalbill_dec
0000000327-01-2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000327-01-2018,1524.0,0.0,0.0,0.0,0.0,1538.0,14.0,25.0,0.0,25.0
0000000327-01-2019,3476.0,24.0,0.0,0.0,0.0,1761.0,23.0,34.0,0.0,34.0
0000000327-01-2020,1992.0,15.0,25.0,0.0,25.0,2021.0,29.0,52.0,0.0,52.0
0000000327-01-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000327-01-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000328-01-2010,536.0,20.0,25.0,0.0,25.0,554.0,18.0,25.0,0.0,25.0
0000000328-01-2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000328-01-2018,2350.0,0.0,0.0,0.0,0.0,2359.0,0.0,0.0,0.0,0.0
0000000328-01-2019,2647.0,26.0,43.0,0.0,43.0,2671.0,24.0,37.0,0.0,37.0
0000000328-01-2020,2942.0,27.0,46.0,0.0,46.0,2972.0,30.0,55.0,0.0,55.0
0000000328-01-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000328-01-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000329-01-2010,125.0,1.0,25.0,0.0,25.0,126.0,1.0,25.0,0.0,25.0
0000000329-01-2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000329-01-2018,2130.0,0.0,0.0,0.0,0.0,2151.0,21.0,28.0,0.0,28.0
0000000329-01-2019,2369.0,14.0,25.0,0.0,25.0,2385.0,16.0,25.0,0.0,25.0
0000000329-01-2020,2739.0,30.0,55.0,0.0,55.0,2778.0,39.0,82.0,0.0,82.0
0000000329-01-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000329-01-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000330-01-2010,42.0,2.0,25.0,0.0,25.0,43.0,1.0,25.0,0.0,25.0
0000000330-01-2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000330-01-2018,2562.0,0.0,0.0,0.0,0.0,2574.0,12.0,25.0,0.0,25.0
0000000330-01-2019,2994.0,70.0,175.0,0.0,175.0,2976.0,-18.0,0.0,0.0,0.0
0000000330-01-2020,3386.0,33.0,64.0,0.0,64.0,3428.0,42.0,91.0,0.0,91.0
0000000330-01-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000330-01-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000331-01-2010,4253.0,1.0,25.0,0.0,25.0,4254.0,1.0,25.0,0.0,25.0
0000000331-01-2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000331-01-2018,3191.0,0.0,0.0,0.0,0.0,3237.0,0.0,0.0,0.0,0.0
0000000331-01-2019,3546.0,19.0,25.0,0.0,25.0,3569.0,23.0,34.0,0.0,34.0
0000000331-01-2020,3862.0,50.0,115.0,0.0,115.0,3932.0,70.0,175.0,0.0,175.0
0000000331-01-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000331-01-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000332-01-2010,285.0,14.0,25.0,0.0,25.0,298.0,13.0,25.0,0.0,25.0
0000000332-01-2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000332-01-2018,1921.0,0.0,0.0,0.0,0.0,1922.0,1.0,25.0,0.0,25.0
0000000332-01-2019,2239.0,16.0,25.0,0.0,25.0,2255.0,16.0,25.0,0.0,25.0
0000000332-01-2020,2533.0,49.0,112.0,0.0,112.0,2592.0,59.0,142.0,0.0,142.0
0000000332-01-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000332-01-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000333-01-2010,1366.0,4.0,25.0,0.0,25.0,1371.0,5.0,25.0,0.0,25.0
0000000333-01-2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000333-01-2018,2948.0,0.0,0.0,0.0,0.0,2944.0,0.0,0.0,0.0,0.0
0000000333-01-2019,2976.0,0.0,0.0,0.0,0.0,2976.0,0.0,0.0,0.0,0.0
0000000333-01-2020,3401.0,30.0,55.0,0.0,55.0,3401.0,0.0,0.0,0.0,0.0
0000000333-01-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000333-01-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000334-01-2010,963.0,3.0,25.0,0.0,25.0,981.0,18.0,25.0,0.0,25.0
0000000334-01-2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000334-01-2018,1016.0,0.0,0.0,0.0,0.0,2018.0,0.0,0.0,0.0,0.0
0000000334-01-2019,4080.0,6.0,25.0,0.0,25.0,2043.0,3.0,25.0,0.0,25.0
0000000334-01-2020,2077.0,0.0,0.0,0.0,0.0,2077.0,0.0,0.0,0.0,0.0
0000000334-01-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000334-01-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000335-01-2010,807.0,16.0,25.0,0.0,25.0,825.0,18.0,25.0,0.0,25.0
0000000335-01-2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000335-01-2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000335-01-2019,2729.0,0.0,0.0,0.0,0.0,2729.0,0.0,0.0,0.0,0.0
0000000335-01-2020,3001.0,5.0,25.0,0.0,25.0,3003.0,2.0,25.0,0.0,25.0
0000000335-01-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000335-01-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000336-01-2010,1054.0,22.0,29.0,0.0,29.0,1074.0,20.0,25.0,0.0,25.0
0000000336-01-2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000336-01-2018,2394.0,0.0,0.0,0.0,0.0,2406.0,12.0,25.0,0.0,25.0
0000000336-01-2019,2524.0,11.0,25.0,0.0,25.0,2535.0,11.0,25.0,0.0,25.0
0000000336-01-2020,2652.0,9.0,25.0,0.0,25.0,2663.0,11.0,25.0,0.0,25.0
0000000336-01-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000336-01-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000337-01-2010,470.0,26.0,37.0,0.0,37.0,493.0,23.0,31.0,0.0,31.0
0000000337-01-2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000337-01-2018,3116.0,0.0,0.0,0.0,0.0,3124.0,0.0,0.0,0.0,0.0
0000000337-01-2019,3477.0,168.0,469.0,0.0,469.0,3477.0,0.0,0.0,0.0,0.0
0000000337-01-2020,76.0,10.0,25.0,0.0,25.0,99.0,23.0,34.0,0.0,34.0
0000000337-01-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000337-01-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000338-01-2010,2786.0,1.0,25.0,0.0,25.0,2787.0,1.0,25.0,0.0,25.0
0000000338-01-2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000338-01-2018,3621.0,0.0,0.0,0.0,0.0,3634.0,13.0,25.0,0.0,25.0
0000000338-01-2019,3775.0,15.0,25.0,0.0,25.0,3784.0,9.0,25.0,0.0,25.0
0000000338-01-2020,3936.0,5.0,25.0,0.0,25.0,3949.0,13.0,25.0,0.0,25.0
0000000338-01-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000338-01-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000339-01-2010,1476.0,45.0,75.0,0.0,75.0,1513.0,37.0,59.0,0.0,59.0
0000000339-01-2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000339-01-2018,3284.0,0.0,0.0,0.0,0.0,3288.0,0.0,0.0,0.0,0.0
0000000339-01-2019,3294.0,0.0,0.0,0.0,0.0,3294.0,0.0,0.0,0.0,0.0
0000000339-01-2020,3543.0,22.0,31.0,0.0,31.0,3580.0,37.0,76.0,0.0,76.0
0000000339-01-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000339-01-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000340-01-2010,5406.0,47.0,79.0,0.0,79.0,5433.0,27.0,39.0,0.0,39.0
0000000340-01-2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
